,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
28057,498,South Africa,Bangladesh,4,39,10,10.17,Johannesburg,118,97,28.0
24944,470,South Africa,England,0,27,9,7.36,Cape Town,154,98,22.0
23317,452,New Zealand,Sri Lanka,4,24,10,16.0,Wellington,162,111,24.0
60175,880,West Indies,Sri Lanka,1,148,4,8.0,Colombo,162,9,24.0
841,12,South Africa,New Zealand,1,136,7,9.38,Auckland,185,33,22.0
38682,612,India,South Africa,1,113,6,8.17,Durban,168,37,22.0
34491,566,Australia,India,0,126,9,9.95,Barbados,184,44,21.0
24393,465,India,Pakistan,1,99,5,6.46,Durban,141,28,21.0
19667,307,England,Pakistan,6,86,8,8.19,Manchester,131,57,21.0
8528,101,India,Bangladesh,1,174,8,8.92,Colombo,176,3,24.0
52008,773,Afghanistan,Bangladesh,0,32,9,6.19,Mirpur,72,89,22.0
25858,477,Sri Lanka,Australia,0,43,3,4.3,Cape Town,101,60,22.0
46893,705,New Zealand,South Africa,0,62,2,4.65,Durban,86,40,23.0
24100,461,West Indies,Bangladesh,2,47,9,6.13,Johannesburg,164,74,24.0
61118,911,South Africa,England,0,1,10,1.2,Mumbai,229,115,27.0
51794,771,New Zealand,Bangladesh,1,88,8,8.38,Mirpur,204,57,27.0
53765,802,Sri Lanka,New Zealand,4,47,7,6.13,Chittagong,119,74,27.0
53096,795,Australia,West Indies,4,15,10,8.18,Mirpur,178,109,27.0
55187,815,South Africa,West Indies,1,206,6,12.12,Johannesburg,231,18,27.0
19574,306,England,Australia,1,111,6,7.32,Southampton,145,29,27.0
23296,451,Australia,England,6,194,5,10.78,Sydney,221,12,27.0
24190,464,England,Australia,4,16,10,6.4,Cape Town,135,105,28.0
27204,488,West Indies,South Africa,0,48,7,4.72,Johannesburg,131,59,28.0
28963,508,Australia,West Indies,1,128,5,7.68,London,169,20,27.0
10315,134,South Africa,Sri Lanka,0,95,9,8.14,Centurion,180,50,26.0
24653,467,Bangladesh,South Africa,0,131,2,7.56,Cape Town,144,16,26.0
64704,964,Sri Lanka,Australia,0,88,3,6.0,Colombo,128,32,23.0
43288,660,New Zealand,England,1,65,7,5.82,Pallekele,148,53,24.0
60873,909,Afghanistan,Sri Lanka,2,6,10,4.5,Kolkata,153,112,26.0
34328,565,South Africa,New Zealand,0,42,9,7.64,Barbados,170,87,28.0
703,11,New Zealand,Bangladesh,2,79,7,6.58,Mount Maunganui,194,48,29.0
23717,455,West Indies,England,1,76,9,10.36,London,208,76,26.0
43117,659,India,Australia,1,28,9,7.64,Colombo,140,98,27.0
25901,477,Sri Lanka,Australia,1,85,2,5.05,Cape Town,101,19,26.0
34714,568,New Zealand,Pakistan,1,49,8,6.26,Barbados,133,73,26.0
38568,609,Pakistan,South Africa,1,85,4,5.6,Abu Dhabi,120,29,25.0
28087,498,South Africa,Bangladesh,1,79,7,9.12,Johannesburg,118,68,21.0
35773,576,Sri Lanka,England,1,116,5,6.33,St Lucia,128,10,26.0
59348,874,New Zealand,Sri Lanka,0,53,10,9.94,Mount Maunganui,182,88,25.0
4766,65,Sri Lanka,India,1,94,7,8.95,Colombo,170,57,24.0
9166,109,England,Sri Lanka,0,37,10,12.33,Colombo,187,102,25.0
41046,635,West Indies,England,0,105,5,6.56,London,125,24,26.0
39544,619,West Indies,Pakistan,2,109,8,8.18,St Lucia,150,40,26.0
60045,879,Sri Lanka,West Indies,6,187,7,10.49,Pallekele,215,13,25.0
51111,751,Sri Lanka,Pakistan,0,142,5,7.28,Dubai,145,3,25.0
51956,772,New Zealand,Sri Lanka,0,109,5,6.48,Pallekele,142,19,25.0
60085,880,West Indies,Sri Lanka,0,17,10,4.08,Colombo,162,95,28.0
31927,541,Sri Lanka,India,1,122,7,7.96,Colombo,171,28,26.0
21224,431,West Indies,New Zealand,4,55,10,15.71,Auckland,180,99,24.0
8250,99,Sri Lanka,Bangladesh,4,147,7,10.38,Colombo,214,35,23.0
19626,307,England,Pakistan,0,18,9,4.7,Manchester,131,97,22.0
34094,563,Australia,Bangladesh,0,48,7,5.65,Barbados,141,69,21.0
24707,468,New Zealand,India,0,50,9,7.69,Johannesburg,190,81,20.0
42861,657,West Indies,England,4,10,10,6.67,Pallekele,179,111,21.0
16873,239,New Zealand,England,0,98,6,8.78,Wellington,176,53,20.0
28864,508,Australia,West Indies,0,3,8,2.25,London,169,112,21.0
53650,800,India,Australia,1,58,7,5.9,Mirpur,159,61,21.0
35317,573,New Zealand,England,2,32,9,6.4,St Lucia,149,90,22.0
2806,34,New Zealand,England,2,78,9,8.07,Wellington,196,62,29.0
866,12,South Africa,New Zealand,1,173,5,9.27,Auckland,185,8,29.0
55703,820,South Africa,West Indies,4,137,9,8.56,Durban,195,24,31.0
662,11,New Zealand,Bangladesh,0,36,8,6.97,Mount Maunganui,194,89,32.0
58248,865,India,Australia,1,63,10,8.79,Melbourne,184,77,34.0
8618,102,Sri Lanka,Bangladesh,0,89,5,6.43,Colombo,159,37,34.0
53444,798,South Africa,England,4,149,7,8.6,Chittagong,196,16,30.0
26993,486,Australia,India,2,124,6,7.44,Mumbai,166,20,50.0
26023,478,Bangladesh,Pakistan,2,126,3,7.79,Cape Town,140,23,52.0
29915,521,India,West Indies,1,48,7,5.88,London,153,71,49.0
16842,239,New Zealand,England,1,53,9,8.83,Wellington,176,84,49.0
34197,564,Pakistan,England,4,37,9,7.16,Barbados,147,89,46.0
14571,195,Sri Lanka,Australia,1,107,6,6.9,Melbourne,142,27,44.0
28986,509,India,Bangladesh,0,0,10,0.0,Nottingham,180,119,48.0
17795,247,India,New Zealand,1,64,9,7.53,Mount Maunganui,163,69,50.0
53053,794,Sri Lanka,England,2,137,9,8.84,Chittagong,189,27,51.0
22088,442,South Africa,England,1,20,10,6.67,Cape Town,191,102,51.0
13277,161,West Indies,India,0,4,10,6.0,Kolkata,109,116,54.0
566,10,New Zealand,Bangladesh,6,83,7,8.59,Mount Maunganui,195,62,53.0
40994,635,West Indies,England,0,56,9,7.47,London,125,75,50.0
55928,822,England,New Zealand,0,104,6,8.43,Manchester,191,46,56.0
17931,250,West Indies,India,0,45,5,4.29,Lauderhill,95,57,59.0
54931,811,Bangladesh,Sri Lanka,0,91,3,5.63,Chittagong,120,23,59.0
24210,464,England,Australia,0,31,9,5.31,Cape Town,135,85,59.0
17583,245,India,New Zealand,1,123,7,8.29,Hamilton,179,31,58.0
57413,835,Pakistan,Bangladesh,4,81,7,6.48,Mirpur,141,45,58.0
8463,101,India,Bangladesh,0,66,10,7.62,Colombo,176,68,62.0
6743,85,Sri Lanka,Pakistan,0,106,8,6.49,Abu Dhabi,124,22,59.0
57812,858,Australia,South Africa,6,133,3,7.82,Durban,157,18,54.0
